id,title,description,availability,condition,price,link,image_link,brand,product_type,item_group_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
32447679,Actividad en la Paz | Lucha Libre de Cholitas,Actividad en La Paz | Lucha libre de cholitas from US$58,in stock,new,58.00 USD,https://www.estropical.com/en/idea/32447679/actividad-en-la-paz-lucha-libre-de-cholitas,https://joni-ia-agent.github.io/XML---Data-Feed/images/32447679.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,27 Dec 2025,28 Dec 2025,
32447466,Actividad en Tarija L Excursión Gran Cañón de Pilaya,Actividad en Tarija l Excursión Gran Cañón de Pilaya from US$59,in stock,new,59.00 USD,https://www.estropical.com/en/idea/32447466/actividad-en-tarija-l-excursion-gran-canon-de-pilaya,https://joni-ia-agent.github.io/XML---Data-Feed/images/32447466.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,20 Dec 2025,21 Dec 2025,
32447145,Full Day Ruta del Vino y Singani - Bodegas Alta Gama,Full Day Ruta del Vino y Singani - Bodegas Alta Gama from US$59,in stock,new,59.00 USD,https://www.estropical.com/en/idea/32447145/full-day-ruta-del-vino-y-singani-bodegas-alta-gama,https://joni-ia-agent.github.io/XML---Data-Feed/images/32447145.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,20 Dec 2025,21 Dec 2025,
42504159,Visa Americana,Visa Americana from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/42504159/visa-americana,https://joni-ia-agent.github.io/XML---Data-Feed/images/42504159.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,10 Dec 2026,10 Dec 2026,
32434251,Visa Japón,Visa Japón from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32434251/visa-japon,https://joni-ia-agent.github.io/XML---Data-Feed/images/32434251.jpg?v=3,Estropical,Viajes > Paquetes > Asia,PAQUETE-ASIA,Paquete,Asia,5 Aug 2026,5 Aug 2026,
32434149,Visa Islas Holandesas,Visa Islas Holandesas from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32434149/visa-islas-holandesas,https://joni-ia-agent.github.io/XML---Data-Feed/images/32434149.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,5 Aug 2026,5 Aug 2026,
32434089,Visa Vietnam,Visa Vietnam from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32434089/visa-vietnam,https://joni-ia-agent.github.io/XML---Data-Feed/images/32434089.jpg?v=3,Estropical,Viajes > Paquetes > Asia,PAQUETE-ASIA,Paquete,Asia,5 Aug 2026,5 Aug 2026,
32433984,Visa Marruecos,Visa Marruecos from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32433984/visa-marruecos,https://joni-ia-agent.github.io/XML---Data-Feed/images/32433984.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,5 Aug 2026,5 Aug 2026,
32433927,Visa Tailandia,Visa Tailandia from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32433927/visa-tailandia,https://joni-ia-agent.github.io/XML---Data-Feed/images/32433927.jpg?v=3,Estropical,Viajes > Paquetes > Asia,PAQUETE-ASIA,Paquete,Asia,5 Aug 2026,5 Aug 2026,
32433858,Visa Irlanda,Visa Irlanda from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32433858/visa-irlanda,https://joni-ia-agent.github.io/XML---Data-Feed/images/32433858.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,5 Aug 2026,5 Aug 2026,
32433576,Visa China,Visa China from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32433576/visa-china,https://joni-ia-agent.github.io/XML---Data-Feed/images/32433576.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,5 Aug 2026,5 Aug 2026,
32433075,Visa Schengen - Europa,Visa Schengen - Europa from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32433075/visa-schengen-europa,https://joni-ia-agent.github.io/XML---Data-Feed/images/32433075.jpg?v=3,Estropical,Viajes > Paquetes > Europa,PAQUETE-EUROPA,Paquete,Europa,5 Aug 2026,5 Aug 2026,
